# BEGIN PLOT
DataTitle=\shortstack[l]{ATLAS Data, \\ arXiv:1511.04716} 
DrawOnly=/REF/ATLAS_2015_I1404878_Parton/d37-x01-y01 /home/iwsatlas1/scyboz/Work/11.10.16_MCPROD_TUNING_RZG/tuning_TopPairMassScale_MMHT2014_dipole/ipolhistos/000/histo-000.yoda/ATLAS_2015_I1404878_Parton/d37-x01-y01
Title=combined lepton channels
RatioPlotReference=/REF/ATLAS_2015_I1404878_Parton/d37-x01-y01
GofLegend=0
RatioPlot=1
LogY=1
RatioPlotYLabel=Output_rivet/Parton_level
LegendXPos=0.45
XLabel=$H_{\text{T}}^{t\bar{t}}$ [GeV]
YLabel=$\dfrac{\text{d}\sigma}{\text{d}H_{\text{T}}^{t\bar{t}}}$ [$\dfrac{\text{pb}}{\text{GeV}}$]
LegendYPos=0.90
Legend=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2015_I1404878_Parton/d37-x01-y01
ConnectBins=0
ErrorBars=1
Path=/REF/ATLAS_2015_I1404878_Parton/d37-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	9.000000e+01	3.431370e-01	3.527639e-02	3.121370e-02
9.000000e+01	1.400000e+02	8.876850e-01	1.213272e-01	1.147049e-01
1.400000e+02	1.950000e+02	9.747090e-01	1.413959e-01	1.351040e-01
1.950000e+02	2.550000e+02	8.278190e-01	1.182621e-01	1.165912e-01
2.550000e+02	3.200000e+02	5.881660e-01	7.547804e-02	7.785122e-02
3.200000e+02	3.850000e+02	3.602290e-01	4.059349e-02	4.089529e-02
3.850000e+02	4.550000e+02	2.020100e-01	2.121089e-02	2.091531e-02
4.550000e+02	5.300000e+02	1.073430e-01	1.054792e-02	1.097367e-02
5.300000e+02	6.100000e+02	5.347880e-02	5.533632e-03	5.747151e-03
6.100000e+02	6.950000e+02	2.693680e-02	3.249057e-03	3.035534e-03
6.950000e+02	7.800000e+02	1.326200e-02	1.485074e-03	1.578604e-03
7.800000e+02	8.650000e+02	6.518600e-03	8.828451e-04	8.382184e-04
8.650000e+02	9.500000e+02	3.503990e-03	5.782094e-04	5.781133e-04
9.500000e+02	1.041000e+03	1.949470e-03	2.873241e-04	2.939553e-04
1.041000e+03	1.500000e+03	4.528630e-04	1.058891e-04	1.011399e-04
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/11.10.16_MCPROD_TUNING_RZG/tuning_TopPairMassScale_MMHT2014_dipole/ipolhistos/000/histo-000.yoda/ATLAS_2015_I1404878_Parton/d37-x01-y01
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/11.10.16_MCPROD_TUNING_RZG/tuning_TopPairMassScale_MMHT2014_dipole/ipolhistos/000/histo-000.yoda/ATLAS_2015_I1404878_Parton/d37-x01-y01
Title=histo-000
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	9.000000e+01	4.013478e-01	0.000000e+00	0.000000e+00
9.000000e+01	1.400000e+02	8.288635e-01	0.000000e+00	0.000000e+00
1.400000e+02	1.950000e+02	8.894542e-01	0.000000e+00	0.000000e+00
1.950000e+02	2.550000e+02	7.319443e-01	0.000000e+00	0.000000e+00
2.550000e+02	3.200000e+02	5.120704e-01	0.000000e+00	0.000000e+00
3.200000e+02	3.850000e+02	3.168026e-01	0.000000e+00	0.000000e+00
3.850000e+02	4.550000e+02	1.819693e-01	0.000000e+00	0.000000e+00
4.550000e+02	5.300000e+02	9.810771e-02	0.000000e+00	0.000000e+00
5.300000e+02	6.100000e+02	5.047365e-02	0.000000e+00	0.000000e+00
6.100000e+02	6.950000e+02	2.539259e-02	0.000000e+00	0.000000e+00
6.950000e+02	7.800000e+02	1.288603e-02	0.000000e+00	0.000000e+00
7.800000e+02	8.650000e+02	6.811936e-03	0.000000e+00	0.000000e+00
8.650000e+02	9.500000e+02	3.722090e-03	0.000000e+00	0.000000e+00
9.500000e+02	1.041000e+03	2.065859e-03	0.000000e+00	0.000000e+00
1.041000e+03	1.500000e+03	5.033682e-04	0.000000e+00	0.000000e+00
# END HISTO1D

