# BEGIN PLOT
LegendOnly=/ATLAS_2015_I1404878_custom/d07-x01-y01 //home/iwsatlas1/scyboz/Work/27.02.17_MCPROD_TUNING_RZG/scan/tunes_ipolhistos.yoda/ATLAS_2015_I1404878_custom/d07-x01-y01
DrawOnly=/ATLAS_2015_I1404878_custom/d07-x01-y01 //home/iwsatlas1/scyboz/Work/27.02.17_MCPROD_TUNING_RZG/scan/tunes_ipolhistos.yoda/ATLAS_2015_I1404878_custom/d07-x01-y01
Title=combined lepton channels
RatioPlotReference=/ATLAS_2015_I1404878_custom/d07-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Output_rivet/Particle_level
LegendXPos=0.6
XLabel=$p_{\text{T}}^{t,\text{had}}$ [GeV]
YLabelSep=8.0
YLabel=$\dfrac{\text{d}\sigma^\text{fid}}{\text{d}p_{\text{T}}^{t,\text{had}}}$ [$\dfrac{\text{pb}}{\text{GeV}}$]
Legend=1
RatioPlotYMin=0.6
LeftMargin=1.9
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1404878_custom/d07-x01-y01
ConnectBins=0
ErrorBars=1
Path=/ATLAS_2015_I1404878_custom/d07-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	4.226720e-02	9.230233e-03	9.311114e-03
2.500000e+01	5.000000e+01	1.192880e-01	2.610726e-02	2.591064e-02
5.000000e+01	7.500000e+01	1.774390e-01	4.047870e-02	4.018257e-02
7.500000e+01	1.050000e+02	1.953350e-01	4.120088e-02	4.099198e-02
1.050000e+02	1.350000e+02	1.736560e-01	3.551662e-02	3.553918e-02
1.350000e+02	1.650000e+02	1.192390e-01	2.435572e-02	2.439265e-02
1.650000e+02	1.950000e+02	7.619360e-02	1.512422e-02	1.484122e-02
1.950000e+02	2.300000e+02	4.796640e-02	9.769471e-03	9.766120e-03
2.300000e+02	2.650000e+02	2.892490e-02	6.095694e-03	6.202977e-03
2.650000e+02	3.000000e+02	1.713080e-02	3.536383e-03	3.517132e-03
3.000000e+02	3.500000e+02	9.450500e-03	1.941335e-03	1.907953e-03
3.500000e+02	4.000000e+02	4.936720e-03	1.021523e-03	1.043637e-03
4.000000e+02	4.500000e+02	2.378980e-03	5.449892e-04	5.436028e-04
4.500000e+02	5.000000e+02	9.900470e-04	2.318067e-04	2.327330e-04
5.000000e+02	1.000000e+03	1.166030e-04	2.966275e-05	2.911553e-05
# END HISTO1D

# BEGIN HISTO1D //home/iwsatlas1/scyboz/Work/27.02.17_MCPROD_TUNING_RZG/scan/tunes_ipolhistos.yoda/ATLAS_2015_I1404878_custom/d07-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/iwsatlas1/scyboz/Work/27.02.17_MCPROD_TUNING_RZG/scan/tunes_ipolhistos.yoda/ATLAS_2015_I1404878_custom/d07-x01-y01
Title=tunes_ipolhistos
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	4.313663e-02	3.252590e-03	3.252590e-03
2.500000e+01	5.000000e+01	1.154522e-01	5.488640e-03	5.488640e-03
5.000000e+01	7.500000e+01	1.796713e-01	6.364390e-03	6.364390e-03
7.500000e+01	1.050000e+02	2.012184e-01	6.697580e-03	6.697580e-03
1.050000e+02	1.350000e+02	1.858449e-01	4.978660e-03	4.978660e-03
1.350000e+02	1.650000e+02	1.219176e-01	3.940410e-03	3.940410e-03
1.650000e+02	1.950000e+02	7.819889e-02	4.187330e-03	4.187330e-03
1.950000e+02	2.300000e+02	4.959173e-02	2.004590e-03	2.004590e-03
2.300000e+02	2.650000e+02	3.254655e-02	1.430860e-03	1.430860e-03
2.650000e+02	3.000000e+02	1.913169e-02	9.844990e-04	9.844990e-04
3.000000e+02	3.500000e+02	1.140847e-02	6.809460e-04	6.809460e-04
3.500000e+02	4.000000e+02	5.861948e-03	5.386550e-04	5.386550e-04
4.000000e+02	4.500000e+02	3.089732e-03	2.538720e-04	2.538720e-04
4.500000e+02	5.000000e+02	1.388318e-03	1.864550e-04	1.864550e-04
5.000000e+02	1.000000e+03	1.692486e-04	1.491520e-05	1.491520e-05
# END HISTO1D

