# BEGIN PLOT
LegendOnly=/ATLAS_2015_I1404878_custom/d15-x01-y01 //home/iwsatlas1/scyboz/Work/27.02.17_MCPROD_TUNING_RZG/scan/tunes_ipolhistos.yoda/ATLAS_2015_I1404878_custom/d15-x01-y01
DrawOnly=/ATLAS_2015_I1404878_custom/d15-x01-y01 //home/iwsatlas1/scyboz/Work/27.02.17_MCPROD_TUNING_RZG/scan/tunes_ipolhistos.yoda/ATLAS_2015_I1404878_custom/d15-x01-y01
Title=combined lepton channels
RatioPlotReference=/ATLAS_2015_I1404878_custom/d15-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Output_rivet/Particle_level
LegendXPos=0.6
XLabel=$H_{\text{T}}^{t\bar{t}}$ [GeV]
YLabelSep=8.0
YLabel=$\dfrac{\text{d}\sigma^\text{fid}}{\text{d}H_{\text{T}}^{t\bar{t}}}$ [$\dfrac{\text{pb}}{\text{GeV}}$]
Legend=1
RatioPlotYMin=0.6
LeftMargin=1.9
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1404878_custom/d15-x01-y01
ConnectBins=0
ErrorBars=1
Path=/ATLAS_2015_I1404878_custom/d15-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	9.000000e+01	2.490670e-02	5.733871e-03	5.647813e-03
9.000000e+01	1.400000e+02	7.721150e-02	1.808773e-02	1.808850e-02
1.400000e+02	1.950000e+02	1.023840e-01	2.291388e-02	2.270511e-02
1.950000e+02	2.550000e+02	1.004190e-01	2.115150e-02	2.105716e-02
2.550000e+02	3.200000e+02	7.213200e-02	1.452496e-02	1.466624e-02
3.200000e+02	3.850000e+02	4.325280e-02	8.630400e-03	8.529303e-03
3.850000e+02	4.550000e+02	2.568990e-02	5.102307e-03	5.054350e-03
4.550000e+02	5.300000e+02	1.518860e-02	2.887329e-03	2.913679e-03
5.300000e+02	6.100000e+02	8.127450e-03	1.707734e-03	1.718414e-03
6.100000e+02	6.950000e+02	4.543040e-03	9.454707e-04	9.198461e-04
6.950000e+02	7.800000e+02	2.324570e-03	4.695520e-04	4.706246e-04
7.800000e+02	8.650000e+02	1.218550e-03	2.719632e-04	2.772658e-04
8.650000e+02	9.500000e+02	6.155750e-04	1.409511e-04	1.410146e-04
9.500000e+02	1.041000e+03	3.307130e-04	8.350808e-05	8.241889e-05
1.041000e+03	1.500000e+03	7.707950e-05	1.953344e-05	1.807178e-05
# END HISTO1D

# BEGIN HISTO1D //home/iwsatlas1/scyboz/Work/27.02.17_MCPROD_TUNING_RZG/scan/tunes_ipolhistos.yoda/ATLAS_2015_I1404878_custom/d15-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/iwsatlas1/scyboz/Work/27.02.17_MCPROD_TUNING_RZG/scan/tunes_ipolhistos.yoda/ATLAS_2015_I1404878_custom/d15-x01-y01
Title=tunes_ipolhistos
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	9.000000e+01	2.313374e-02	1.369280e-03	1.369280e-03
9.000000e+01	1.400000e+02	7.551925e-02	2.915090e-03	2.915090e-03
1.400000e+02	1.950000e+02	1.005948e-01	3.299660e-03	3.299660e-03
1.950000e+02	2.550000e+02	9.865616e-02	3.266450e-03	3.266450e-03
2.550000e+02	3.200000e+02	7.012548e-02	2.042180e-03	2.042180e-03
3.200000e+02	3.850000e+02	4.304767e-02	1.969900e-03	1.969900e-03
3.850000e+02	4.550000e+02	2.717136e-02	1.084380e-03	1.084380e-03
4.550000e+02	5.300000e+02	1.599375e-02	7.155800e-04	7.155800e-04
5.300000e+02	6.100000e+02	9.491330e-03	4.836640e-04	4.836640e-04
6.100000e+02	6.950000e+02	5.559235e-03	3.961910e-04	3.961910e-04
6.950000e+02	7.800000e+02	2.883448e-03	2.483620e-04	2.483620e-04
7.800000e+02	8.650000e+02	1.580613e-03	2.088890e-04	2.088890e-04
8.650000e+02	9.500000e+02	9.231547e-04	1.179570e-04	1.179570e-04
9.500000e+02	1.041000e+03	4.058785e-04	6.727030e-05	6.727030e-05
1.041000e+03	1.500000e+03	1.002415e-04	1.209770e-05	1.209770e-05
# END HISTO1D

