# BEGIN PLOT
LegendOnly=/ATLAS_2015_I1404878_custom/d17-x01-y01 //home/iwsatlas1/scyboz/Work/27.02.17_MCPROD_TUNING_RZG/scan/tunes_ipolhistos.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
DrawOnly=/ATLAS_2015_I1404878_custom/d17-x01-y01 //home/iwsatlas1/scyboz/Work/27.02.17_MCPROD_TUNING_RZG/scan/tunes_ipolhistos.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
Title=combined lepton channels
RatioPlotReference=/ATLAS_2015_I1404878_custom/d17-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Output_rivet/Particle_level
LegendXPos=0.6
XLabel=$y_{\text{boost}}$
YLabelSep=8.0
YLabel=$\dfrac{\text{d}\sigma^\text{fid}}{\text{d}y_{\text{boost}}}$ [pb]
Legend=1
RatioPlotYMin=0.6
LeftMargin=1.9
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1404878_custom/d17-x01-y01
ConnectBins=0
ErrorBars=1
Path=/ATLAS_2015_I1404878_custom/d17-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.368580e+01	6.957464e+00	6.903950e+00
1.000000e-01	2.000000e-01	3.311430e+01	6.874900e+00	6.836186e+00
2.000000e-01	3.000000e-01	3.145440e+01	6.746644e+00	6.734072e+00
3.000000e-01	4.000000e-01	3.012680e+01	6.504550e+00	6.493412e+00
4.000000e-01	5.000000e-01	2.829980e+01	5.822610e+00	5.866715e+00
5.000000e-01	6.000000e-01	2.552530e+01	5.357160e+00	5.346961e+00
6.000000e-01	7.000000e-01	2.264700e+01	4.920719e+00	4.868689e+00
7.000000e-01	8.000000e-01	1.995730e+01	4.244309e+00	4.260454e+00
8.000000e-01	9.000000e-01	1.705750e+01	3.424366e+00	3.431859e+00
9.000000e-01	1.000000e+00	1.364350e+01	2.887453e+00	2.837209e+00
1.000000e+00	1.100000e+00	1.111390e+01	2.398777e+00	2.396115e+00
1.100000e+00	1.200000e+00	8.725570e+00	1.738623e+00	1.678638e+00
1.200000e+00	1.300000e+00	6.761050e+00	1.377403e+00	1.378144e+00
1.300000e+00	1.400000e+00	4.966550e+00	1.024540e+00	1.006075e+00
1.400000e+00	1.500000e+00	3.559080e+00	7.006089e-01	6.885703e-01
1.500000e+00	2.000000e+00	1.013350e+00	2.121696e-01	2.142018e-01
# END HISTO1D

# BEGIN HISTO1D //home/iwsatlas1/scyboz/Work/27.02.17_MCPROD_TUNING_RZG/scan/tunes_ipolhistos.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/iwsatlas1/scyboz/Work/27.02.17_MCPROD_TUNING_RZG/scan/tunes_ipolhistos.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
Title=tunes_ipolhistos
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.326475e+01	1.370210e+00	1.370210e+00
1.000000e-01	2.000000e-01	3.276248e+01	1.620560e+00	1.620560e+00
2.000000e-01	3.000000e-01	3.130680e+01	1.183340e+00	1.183340e+00
3.000000e-01	4.000000e-01	3.093573e+01	1.316760e+00	1.316760e+00
4.000000e-01	5.000000e-01	2.783448e+01	1.320670e+00	1.320670e+00
5.000000e-01	6.000000e-01	2.526133e+01	1.196670e+00	1.196670e+00
6.000000e-01	7.000000e-01	2.248233e+01	1.033140e+00	1.033140e+00
7.000000e-01	8.000000e-01	2.006588e+01	9.982920e-01	9.982920e-01
8.000000e-01	9.000000e-01	1.734841e+01	8.301420e-01	8.301420e-01
9.000000e-01	1.000000e+00	1.374734e+01	8.458650e-01	8.458650e-01
1.000000e+00	1.100000e+00	1.144537e+01	6.148500e-01	6.148500e-01
1.100000e+00	1.200000e+00	8.716071e+00	4.984500e-01	4.984500e-01
1.200000e+00	1.300000e+00	6.735434e+00	4.227250e-01	4.227250e-01
1.300000e+00	1.400000e+00	4.714353e+00	3.775250e-01	3.775250e-01
1.400000e+00	1.500000e+00	3.565403e+00	2.754880e-01	2.754880e-01
1.500000e+00	2.000000e+00	1.036879e+00	6.083170e-02	6.083170e-02
# END HISTO1D

