# BEGIN PLOT
DrawOnly=/REF/ATLAS_2015_I1404878_custom/d17-x01-y01 /home/iwsatlas1/scyboz/Work/RZG-ATLAS_2015_I1404878_custom/Comp_Scales/Herwig_8TeV_MSTW2008_mu86GeV_DefaultShower_mT172.5_251.659pb_2M.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01 /home/iwsatlas1/scyboz/Work/RZG-ATLAS_2015_I1404878_custom/Comp_Scales/Herwig_8TeV_MSTW2008_muTopMTScale_DefaultShower_mT172.5_251.569pb_2M.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01 /home/iwsatlas1/scyboz/Work/RZG-ATLAS_2015_I1404878_custom/Comp_Scales/Herwig_8TeV_MSTW2008_muTopPairMass_mT172.5_251.659pb_2M.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
Title=combined lepton channels
RatioPlotReference=/REF/ATLAS_2015_I1404878_custom/d17-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Output_rivet/Particle_level
LegendXPos=0.6
XLabel=$y_{\text{boost}}$
YLabelSep=8.0
YLabel=$\dfrac{\text{d}\sigma^\text{fid}}{\text{d}y_{\text{boost}}}$ [pb]
Legend=1
RatioPlotYMin=0.6
LeftMargin=1.9
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2015_I1404878_custom/d17-x01-y01
ConnectBins=0
ErrorBars=1
Path=/REF/ATLAS_2015_I1404878_custom/d17-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.368580e+01	6.957464e+00	6.903950e+00
1.000000e-01	2.000000e-01	3.311430e+01	6.874900e+00	6.836186e+00
2.000000e-01	3.000000e-01	3.145440e+01	6.746644e+00	6.734072e+00
3.000000e-01	4.000000e-01	3.012680e+01	6.504550e+00	6.493412e+00
4.000000e-01	5.000000e-01	2.829980e+01	5.822610e+00	5.866715e+00
5.000000e-01	6.000000e-01	2.552530e+01	5.357160e+00	5.346961e+00
6.000000e-01	7.000000e-01	2.264700e+01	4.920719e+00	4.868689e+00
7.000000e-01	8.000000e-01	1.995730e+01	4.244309e+00	4.260454e+00
8.000000e-01	9.000000e-01	1.705750e+01	3.424366e+00	3.431859e+00
9.000000e-01	1.000000e+00	1.364350e+01	2.887453e+00	2.837209e+00
1.000000e+00	1.100000e+00	1.111390e+01	2.398777e+00	2.396115e+00
1.100000e+00	1.200000e+00	8.725570e+00	1.738623e+00	1.678638e+00
1.200000e+00	1.300000e+00	6.761050e+00	1.377403e+00	1.378144e+00
1.300000e+00	1.400000e+00	4.966550e+00	1.024540e+00	1.006075e+00
1.400000e+00	1.500000e+00	3.559080e+00	7.006089e-01	6.885703e-01
1.500000e+00	2.000000e+00	1.013350e+00	2.121696e-01	2.142018e-01
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/RZG-ATLAS_2015_I1404878_custom/Comp_Scales/Herwig_8TeV_MSTW2008_mu86GeV_DefaultShower_mT172.5_251.659pb_2M.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/RZG-ATLAS_2015_I1404878_custom/Comp_Scales/Herwig_8TeV_MSTW2008_mu86GeV_DefaultShower_mT172.5_251.659pb_2M.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
ScaledBy=0.0084458301822041403
Title=Herwig_8TeV_MSTW2008_mu86GeV_DefaultShower_mT172.5_251.659pb_2M
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.766316e+01	2.361868e-01	2.361868e-01
1.000000e-01	2.000000e-01	3.698529e+01	2.331196e-01	2.331196e-01
2.000000e-01	3.000000e-01	3.550841e+01	2.274119e-01	2.274119e-01
3.000000e-01	4.000000e-01	3.398271e+01	2.244838e-01	2.244838e-01
4.000000e-01	5.000000e-01	3.200127e+01	2.159503e-01	2.159503e-01
5.000000e-01	6.000000e-01	2.941508e+01	2.078669e-01	2.078669e-01
6.000000e-01	7.000000e-01	2.658905e+01	1.969544e-01	1.969544e-01
7.000000e-01	8.000000e-01	2.367323e+01	1.855079e-01	1.855079e-01
8.000000e-01	9.000000e-01	2.017031e+01	1.703317e-01	1.703317e-01
9.000000e-01	1.000000e+00	1.698233e+01	1.555930e-01	1.555930e-01
1.000000e+00	1.100000e+00	1.440791e+01	1.441834e-01	1.441834e-01
1.100000e+00	1.200000e+00	1.142160e+01	1.283104e-01	1.283104e-01
1.200000e+00	1.300000e+00	8.971403e+00	1.136828e-01	1.136828e-01
1.300000e+00	1.400000e+00	6.596157e+00	9.679656e-02	9.679656e-02
1.400000e+00	1.500000e+00	4.712035e+00	8.113263e-02	8.113263e-02
1.500000e+00	2.000000e+00	1.419212e+00	2.051525e-02	2.051525e-02
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/RZG-ATLAS_2015_I1404878_custom/Comp_Scales/Herwig_8TeV_MSTW2008_muTopMTScale_DefaultShower_mT172.5_251.569pb_2M.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/RZG-ATLAS_2015_I1404878_custom/Comp_Scales/Herwig_8TeV_MSTW2008_muTopMTScale_DefaultShower_mT172.5_251.569pb_2M.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
ScaledBy=0.012469701143934215
Title=Herwig_8TeV_MSTW2008_muTopMTScale_DefaultShower_mT172.5_251.569pb_2M
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.654807e+01	2.437664e-01	2.437664e-01
1.000000e-01	2.000000e-01	3.604880e+01	2.452205e-01	2.452205e-01
2.000000e-01	3.000000e-01	3.501123e+01	2.411399e-01	2.411399e-01
3.000000e-01	4.000000e-01	3.322138e+01	2.310528e-01	2.310528e-01
4.000000e-01	5.000000e-01	3.126747e+01	2.311704e-01	2.311704e-01
5.000000e-01	6.000000e-01	2.872652e+01	2.220671e-01	2.220671e-01
6.000000e-01	7.000000e-01	2.639783e+01	2.232118e-01	2.232118e-01
7.000000e-01	8.000000e-01	2.296536e+01	1.932989e-01	1.932989e-01
8.000000e-01	9.000000e-01	1.995070e+01	1.909254e-01	1.909254e-01
9.000000e-01	1.000000e+00	1.663748e+01	1.622954e-01	1.622954e-01
1.000000e+00	1.100000e+00	1.383678e+01	1.434621e-01	1.434621e-01
1.100000e+00	1.200000e+00	1.103111e+01	1.325543e-01	1.325543e-01
1.200000e+00	1.300000e+00	8.738401e+00	1.143003e-01	1.143003e-01
1.300000e+00	1.400000e+00	6.466953e+00	1.056454e-01	1.056454e-01
1.400000e+00	1.500000e+00	4.494029e+00	9.259096e-02	9.259096e-02
1.500000e+00	2.000000e+00	1.390028e+00	2.079849e-02	2.079849e-02
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/RZG-ATLAS_2015_I1404878_custom/Comp_Scales/Herwig_8TeV_MSTW2008_muTopPairMass_mT172.5_251.659pb_2M.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
ErrorBars=1
LineColor={[HTML]{109618}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/RZG-ATLAS_2015_I1404878_custom/Comp_Scales/Herwig_8TeV_MSTW2008_muTopPairMass_mT172.5_251.659pb_2M.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
ScaledBy=0.019337916505282774
Title=Herwig_8TeV_MSTW2008_muTopPairMass_mT172.5_251.659pb_2M
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.687272e+01	2.829670e-01	2.829670e-01
1.000000e-01	2.000000e-01	3.644213e+01	2.938228e-01	2.938228e-01
2.000000e-01	3.000000e-01	3.523382e+01	2.912939e-01	2.912939e-01
3.000000e-01	4.000000e-01	3.353379e+01	2.509159e-01	2.509159e-01
4.000000e-01	5.000000e-01	3.117939e+01	2.368485e-01	2.368485e-01
5.000000e-01	6.000000e-01	2.821071e+01	2.072370e-01	2.072370e-01
6.000000e-01	7.000000e-01	2.601167e+01	2.628830e-01	2.628830e-01
7.000000e-01	8.000000e-01	2.291683e+01	2.163294e-01	2.163294e-01
8.000000e-01	9.000000e-01	1.999037e+01	2.080476e-01	2.080476e-01
9.000000e-01	1.000000e+00	1.675776e+01	1.892074e-01	1.892074e-01
1.000000e+00	1.100000e+00	1.390503e+01	1.917182e-01	1.917182e-01
1.100000e+00	1.200000e+00	1.103124e+01	1.263383e-01	1.263383e-01
1.200000e+00	1.300000e+00	8.895135e+00	1.473039e-01	1.473039e-01
1.300000e+00	1.400000e+00	6.385594e+00	9.420341e-02	9.420341e-02
1.400000e+00	1.500000e+00	4.691381e+00	9.041327e-02	9.041327e-02
1.500000e+00	2.000000e+00	1.468124e+00	3.332378e-02	3.332378e-02
# END HISTO1D

