# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_200000/Herwig_8TeV_MMHT2014LO_mu86GeV_DefaultShower.yoda/ATLAS_2015_I1404878_custom/pt_lepton
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_200000/Herwig_8TeV_MMHT2014LO_mu86GeV_DefaultShower.yoda/ATLAS_2015_I1404878_custom/pt_lepton
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_200000/Herwig_8TeV_MMHT2014LO_mu86GeV_DefaultShower.yoda/ATLAS_2015_I1404878_custom/pt_lepton
Title=Herwig_8TeV_MMHT2014LO_mu86GeV_DefaultShower
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	1.942750e+02	2.203832e+00	2.203832e+00
4.000000e+01	8.000000e+01	3.069000e+02	2.769928e+00	2.769928e+00
8.000000e+01	1.200000e+02	1.226000e+02	1.750714e+00	1.750714e+00
1.200000e+02	1.600000e+02	4.860000e+01	1.102270e+00	1.102270e+00
1.600000e+02	2.000000e+02	2.252500e+01	7.504166e-01	7.504166e-01
2.000000e+02	2.400000e+02	9.675000e+00	4.918079e-01	4.918079e-01
2.400000e+02	2.800000e+02	5.275000e+00	3.631460e-01	3.631460e-01
2.800000e+02	3.200000e+02	3.250000e+00	2.850439e-01	2.850439e-01
3.200000e+02	3.600000e+02	2.075000e+00	2.277608e-01	2.277608e-01
3.600000e+02	4.000000e+02	1.450000e+00	1.903943e-01	1.903943e-01
# END HISTO1D

