# BEGIN PLOT
DrawOnly=/REF/ATLAS_2015_I1404878_custom/d17-x01-y01 /home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
Title=combined lepton channels
RatioPlotReference=/REF/ATLAS_2015_I1404878_custom/d17-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Output_rivet/Particle_level
LegendXPos=0.6
XLabel=$y_{\text{boost}}$
YLabelSep=8.0
YLabel=$\dfrac{\text{d}\sigma^\text{fid}}{\text{d}y_{\text{boost}}}$ [pb]
Legend=1
RatioPlotYMin=0.6
LeftMargin=1.9
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2015_I1404878_custom/d17-x01-y01
ConnectBins=0
ErrorBars=1
Path=/REF/ATLAS_2015_I1404878_custom/d17-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.368580e+01	6.957464e+00	6.903950e+00
1.000000e-01	2.000000e-01	3.311430e+01	6.874900e+00	6.836186e+00
2.000000e-01	3.000000e-01	3.145440e+01	6.746644e+00	6.734072e+00
3.000000e-01	4.000000e-01	3.012680e+01	6.504550e+00	6.493412e+00
4.000000e-01	5.000000e-01	2.829980e+01	5.822610e+00	5.866715e+00
5.000000e-01	6.000000e-01	2.552530e+01	5.357160e+00	5.346961e+00
6.000000e-01	7.000000e-01	2.264700e+01	4.920719e+00	4.868689e+00
7.000000e-01	8.000000e-01	1.995730e+01	4.244309e+00	4.260454e+00
8.000000e-01	9.000000e-01	1.705750e+01	3.424366e+00	3.431859e+00
9.000000e-01	1.000000e+00	1.364350e+01	2.887453e+00	2.837209e+00
1.000000e+00	1.100000e+00	1.111390e+01	2.398777e+00	2.396115e+00
1.100000e+00	1.200000e+00	8.725570e+00	1.738623e+00	1.678638e+00
1.200000e+00	1.300000e+00	6.761050e+00	1.377403e+00	1.378144e+00
1.300000e+00	1.400000e+00	4.966550e+00	1.024540e+00	1.006075e+00
1.400000e+00	1.500000e+00	3.559080e+00	7.006089e-01	6.885703e-01
1.500000e+00	2.000000e+00	1.013350e+00	2.121696e-01	2.142018e-01
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
ScaledBy=0.017617929691724318
Title=Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.207790e+01	2.465969e-01	2.465969e-01
1.000000e-01	2.000000e-01	3.177748e+01	2.460726e-01	2.460726e-01
2.000000e-01	3.000000e-01	3.059931e+01	2.392154e-01	2.392154e-01
3.000000e-01	4.000000e-01	2.936540e+01	2.344211e-01	2.344211e-01
4.000000e-01	5.000000e-01	2.805783e+01	2.328813e-01	2.328813e-01
5.000000e-01	6.000000e-01	2.562528e+01	2.241862e-01	2.241862e-01
6.000000e-01	7.000000e-01	2.301941e+01	2.190494e-01	2.190494e-01
7.000000e-01	8.000000e-01	2.008819e+01	1.980767e-01	1.980767e-01
8.000000e-01	9.000000e-01	1.746915e+01	1.841834e-01	1.841834e-01
9.000000e-01	1.000000e+00	1.497936e+01	1.704904e-01	1.704904e-01
1.000000e+00	1.100000e+00	1.244021e+01	1.567114e-01	1.567114e-01
1.100000e+00	1.200000e+00	9.972423e+00	1.430994e-01	1.430994e-01
1.200000e+00	1.300000e+00	7.497306e+00	1.224068e-01	1.224068e-01
1.300000e+00	1.400000e+00	5.816428e+00	1.141500e-01	1.141500e-01
1.400000e+00	1.500000e+00	4.044093e+00	9.836677e-02	9.836677e-02
1.500000e+00	2.000000e+00	1.203709e+00	2.395446e-02	2.395446e-02
# END HISTO1D

