# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M.yoda/ATLAS_2015_I1404878_custom/pt_lepton
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M.yoda/ATLAS_2015_I1404878_custom/pt_lepton
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M.yoda/ATLAS_2015_I1404878_custom/pt_lepton
Title=Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	1.897100e+03	6.886763e+00	6.886763e+00
4.000000e+01	8.000000e+01	3.132325e+03	8.849188e+00	8.849188e+00
8.000000e+01	1.200000e+02	1.332750e+03	5.772240e+00	5.772240e+00
1.200000e+02	1.600000e+02	5.729000e+02	3.784508e+00	3.784508e+00
1.600000e+02	2.000000e+02	2.671750e+02	2.584449e+00	2.584449e+00
2.000000e+02	2.400000e+02	1.330750e+02	1.823972e+00	1.823972e+00
2.400000e+02	2.800000e+02	7.267500e+01	1.347915e+00	1.347915e+00
2.800000e+02	3.200000e+02	4.432500e+01	1.052675e+00	1.052675e+00
3.200000e+02	3.600000e+02	2.917500e+01	8.540345e-01	8.540345e-01
3.600000e+02	4.000000e+02	1.872500e+01	6.841966e-01	6.841966e-01
# END HISTO1D

