# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/Eta1 /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/Eta1
RatioPlotReference=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/Eta1
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$1^\mathrm{st}$ jet $\eta$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/Eta1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/Eta1
Title=johannes_nlo
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	3.342688e-02	1.011603e-01	1.011603e-01
-2.250000e+00	-2.000000e+00	5.268378e-02	1.477623e-01	1.477623e-01
-2.000000e+00	-1.750000e+00	7.507527e-02	9.892365e-02	9.892365e-02
-1.750000e+00	-1.500000e+00	1.046963e-01	1.378003e-01	1.378003e-01
-1.500000e+00	-1.250000e+00	1.376983e-01	1.646662e-01	1.646662e-01
-1.250000e+00	-1.000000e+00	1.719957e-01	1.882410e-01	1.882410e-01
-1.000000e+00	-7.500000e-01	2.037714e-01	2.376676e-01	2.376676e-01
-7.500000e-01	-5.000000e-01	2.307408e-01	3.313141e-01	3.313141e-01
-5.000000e-01	-2.500000e-01	2.491305e-01	2.952872e-01	2.952872e-01
-2.500000e-01	0.000000e+00	2.608366e-01	2.634814e-01	2.634814e-01
0.000000e+00	2.500000e-01	2.569439e-01	2.376990e-01	2.376990e-01
2.500000e-01	5.000000e-01	2.476232e-01	2.595511e-01	2.595511e-01
5.000000e-01	7.500000e-01	2.319301e-01	2.097501e-01	2.097501e-01
7.500000e-01	1.000000e+00	2.030771e-01	1.682904e-01	1.682904e-01
1.000000e+00	1.250000e+00	1.718058e-01	1.786817e-01	1.786817e-01
1.250000e+00	1.500000e+00	1.390079e-01	2.059426e-01	2.059426e-01
1.500000e+00	1.750000e+00	1.067516e-01	2.498695e-01	2.498695e-01
1.750000e+00	2.000000e+00	7.484070e-02	1.295602e-01	1.295602e-01
2.000000e+00	2.250000e+00	4.825571e-02	1.431248e-01	1.431248e-01
2.250000e+00	2.500000e+00	3.389701e-02	8.794472e-02	8.794472e-02
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/Eta1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/Eta1
ScaledBy=1.0487612085043207e-07
Title=seedALL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	1.925629e-02	1.625267e-01	1.625267e-01
-2.250000e+00	-2.000000e+00	4.154172e-02	5.819616e-02	5.819616e-02
-2.000000e+00	-1.750000e+00	7.297916e-02	2.229763e-01	2.229763e-01
-1.750000e+00	-1.500000e+00	8.950216e-02	6.898687e-01	6.898687e-01
-1.500000e+00	-1.250000e+00	1.297598e-01	5.902092e-01	5.902092e-01
-1.250000e+00	-1.000000e+00	1.635014e-01	2.082568e+00	2.082568e+00
-1.000000e+00	-7.500000e-01	1.814704e-01	2.343805e-01	2.343805e-01
-7.500000e-01	-5.000000e-01	2.185134e-01	3.555655e-01	3.555655e-01
-5.000000e-01	-2.500000e-01	2.458382e-01	3.219257e-01	3.219257e-01
-2.500000e-01	0.000000e+00	2.611472e-01	4.244647e-01	4.244647e-01
0.000000e+00	2.500000e-01	2.626215e-01	3.739831e-01	3.739831e-01
2.500000e-01	5.000000e-01	2.475880e-01	8.028352e-01	8.028352e-01
5.000000e-01	7.500000e-01	2.262416e-01	4.422944e-01	4.422944e-01
7.500000e-01	1.000000e+00	1.796222e-01	2.554577e-01	2.554577e-01
1.000000e+00	1.250000e+00	1.671979e-01	2.442897e-01	2.442897e-01
1.250000e+00	1.500000e+00	1.245418e-01	2.945399e-01	2.945399e-01
1.500000e+00	1.750000e+00	9.151652e-02	5.946748e-01	5.946748e-01
1.750000e+00	2.000000e+00	7.825376e-02	2.241255e-01	2.241255e-01
2.000000e+00	2.250000e+00	4.249492e-02	8.524937e-02	8.524937e-02
2.250000e+00	2.500000e+00	2.616107e-02	1.213058e-01	1.213058e-01
# END HISTO1D

