# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/Pt1 /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/Pt1
RatioPlotReference=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/Pt1
RatioPlot=1
LogY=1
XLabel=$1^\mathrm{st}$ jet $\mathrm{p}_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/Pt1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/Pt1
Title=johannes_nlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	2.248875e-05	2.148767e-04	2.148767e-04
3.200000e+01	4.800000e+01	2.334566e-03	3.087004e-03	3.087004e-03
4.800000e+01	6.400000e+01	7.192143e-03	6.036288e-03	6.036288e-03
6.400000e+01	8.000000e+01	9.620236e-03	5.707051e-03	5.707051e-03
8.000000e+01	9.600000e+01	8.571063e-03	5.330797e-03	5.330797e-03
9.600000e+01	1.120000e+02	6.395722e-03	5.998367e-03	5.998367e-03
1.120000e+02	1.280000e+02	4.443127e-03	3.419476e-03	3.419476e-03
1.280000e+02	1.440000e+02	2.944548e-03	2.427153e-03	2.427153e-03
1.440000e+02	1.600000e+02	1.930082e-03	2.352973e-03	2.352973e-03
1.600000e+02	1.760000e+02	1.260044e-03	1.378923e-03	1.378923e-03
1.760000e+02	1.920000e+02	8.553322e-04	9.662711e-04	9.662711e-04
1.920000e+02	2.080000e+02	5.587439e-04	5.378237e-04	5.378237e-04
2.080000e+02	2.240000e+02	3.763790e-04	7.369902e-04	7.369902e-04
2.240000e+02	2.400000e+02	2.666306e-04	3.176867e-04	3.176867e-04
2.400000e+02	2.560000e+02	1.792052e-04	4.384528e-04	4.384528e-04
2.560000e+02	2.720000e+02	1.239872e-04	3.393657e-04	3.393657e-04
2.720000e+02	2.880000e+02	8.943336e-05	1.799719e-04	1.799719e-04
2.880000e+02	3.040000e+02	6.457751e-05	9.875869e-05	9.875869e-05
3.040000e+02	3.200000e+02	4.536277e-05	9.486960e-05	9.486960e-05
3.200000e+02	3.360000e+02	3.127725e-05	1.286293e-04	1.286293e-04
3.360000e+02	3.520000e+02	2.635853e-05	6.859924e-05	6.859924e-05
3.520000e+02	3.680000e+02	1.805249e-05	6.421743e-05	6.421743e-05
3.680000e+02	3.840000e+02	1.481540e-05	4.864801e-05	4.864801e-05
3.840000e+02	4.000000e+02	1.103452e-05	2.880257e-05	2.880257e-05
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/Pt1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/Pt1
ScaledBy=1.0487612085043207e-07
Title=seedALL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	3.460848e-05	4.900787e-05	4.900787e-05
3.200000e+01	4.800000e+01	2.233767e-03	3.747374e-03	3.747374e-03
4.800000e+01	6.400000e+01	6.514987e-03	1.711566e-02	1.711566e-02
6.400000e+01	8.000000e+01	9.655162e-03	1.081609e-02	1.081609e-02
8.000000e+01	9.600000e+01	7.614581e-03	1.212860e-02	1.212860e-02
9.600000e+01	1.120000e+02	6.308025e-03	3.308675e-02	3.308675e-02
1.120000e+02	1.280000e+02	4.018940e-03	7.172838e-03	7.172838e-03
1.280000e+02	1.440000e+02	2.873347e-03	4.588644e-03	4.588644e-03
1.440000e+02	1.600000e+02	1.826506e-03	3.482362e-03	3.482362e-03
1.600000e+02	1.760000e+02	1.146113e-03	2.249825e-03	2.249825e-03
1.760000e+02	1.920000e+02	8.268013e-04	2.798369e-03	2.798369e-03
1.920000e+02	2.080000e+02	5.215024e-04	1.590719e-03	1.590719e-03
2.080000e+02	2.240000e+02	3.723020e-04	2.265112e-03	2.265112e-03
2.240000e+02	2.400000e+02	2.327454e-04	1.024542e-03	1.024542e-03
2.400000e+02	2.560000e+02	1.112696e-04	3.767443e-03	3.767443e-03
2.560000e+02	2.720000e+02	1.363796e-04	2.496890e-04	2.496890e-04
2.720000e+02	2.880000e+02	1.004616e-04	1.229491e-03	1.229491e-03
2.880000e+02	3.040000e+02	5.041398e-05	1.601225e-04	1.601225e-04
3.040000e+02	3.200000e+02	5.262107e-05	2.414945e-04	2.414945e-04
3.200000e+02	3.360000e+02	1.601022e-05	5.735612e-05	5.735612e-05
3.360000e+02	3.520000e+02	5.684005e-05	1.424970e-04	1.424970e-04
3.520000e+02	3.680000e+02	1.789984e-05	5.610579e-05	5.610579e-05
3.680000e+02	3.840000e+02	3.260773e-05	2.178523e-04	2.178523e-04
3.840000e+02	4.000000e+02	1.955245e-05	5.754007e-05	5.754007e-05
# END HISTO1D

