# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/PtMiss /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/PtMiss
RatioPlotReference=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/PtMiss
RatioPlot=1
LogY=1
XLabel=Missing transverse momentum $\mathrm{p}_\mathrm{T, miss}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T, miss}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/PtMiss
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/PtMiss
Title=johannes_nlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	4.640892e-03	4.257950e-03	4.257950e-03
3.200000e+01	4.800000e+01	8.303920e-03	4.530708e-03	4.530708e-03
4.800000e+01	6.400000e+01	9.027268e-03	5.895247e-03	5.895247e-03
6.400000e+01	8.000000e+01	8.265955e-03	6.309418e-03	6.309418e-03
8.000000e+01	9.600000e+01	6.588865e-03	5.590010e-03	5.590010e-03
9.600000e+01	1.120000e+02	4.504807e-03	3.597525e-03	3.597525e-03
1.120000e+02	1.280000e+02	2.749267e-03	2.523165e-03	2.523165e-03
1.280000e+02	1.440000e+02	1.525198e-03	1.682076e-03	1.682076e-03
1.440000e+02	1.600000e+02	7.720480e-04	1.121419e-03	1.121419e-03
1.600000e+02	1.760000e+02	4.077314e-04	5.986503e-04	5.986503e-04
1.760000e+02	1.920000e+02	2.302964e-04	4.952964e-04	4.952964e-04
1.920000e+02	2.080000e+02	1.373463e-04	2.741328e-04	2.741328e-04
2.080000e+02	2.240000e+02	8.770354e-05	3.760804e-04	3.760804e-04
2.240000e+02	2.400000e+02	5.460776e-05	1.238099e-04	1.238099e-04
2.400000e+02	2.560000e+02	3.350683e-05	1.311563e-04	1.311563e-04
2.560000e+02	2.720000e+02	2.473142e-05	6.719228e-05	6.719228e-05
2.720000e+02	2.880000e+02	1.483371e-05	1.777839e-04	1.777839e-04
2.880000e+02	3.040000e+02	1.127327e-05	5.109122e-05	5.109122e-05
3.040000e+02	3.200000e+02	7.938757e-06	3.021992e-05	3.021992e-05
3.200000e+02	3.360000e+02	6.002844e-06	1.390390e-05	1.390390e-05
3.360000e+02	3.520000e+02	3.241955e-06	9.996202e-06	9.996202e-06
3.520000e+02	3.680000e+02	2.230649e-06	6.912706e-06	6.912706e-06
3.680000e+02	3.840000e+02	2.381554e-06	8.948353e-06	8.948353e-06
3.840000e+02	4.000000e+02	1.998669e-06	7.440748e-06	7.440748e-06
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/PtMiss
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/PtMiss
ScaledBy=1.0487612085043207e-07
Title=seedALL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	4.851191e-03	1.298860e-02	1.298860e-02
3.200000e+01	4.800000e+01	8.039806e-03	9.969737e-03	9.969737e-03
4.800000e+01	6.400000e+01	8.321225e-03	7.525322e-03	7.525322e-03
6.400000e+01	8.000000e+01	7.960162e-03	8.893091e-03	8.893091e-03
8.000000e+01	9.600000e+01	6.223410e-03	7.778049e-03	7.778049e-03
9.600000e+01	1.120000e+02	4.100398e-03	1.046213e-02	1.046213e-02
1.120000e+02	1.280000e+02	2.373256e-03	3.460569e-02	3.460569e-02
1.280000e+02	1.440000e+02	1.455247e-03	3.545870e-03	3.545870e-03
1.440000e+02	1.600000e+02	7.405950e-04	1.179746e-03	1.179746e-03
1.600000e+02	1.760000e+02	3.755459e-04	1.143472e-03	1.143472e-03
1.760000e+02	1.920000e+02	1.591014e-04	2.072396e-04	2.072396e-04
1.920000e+02	2.080000e+02	8.495387e-05	9.724038e-04	9.724038e-04
2.080000e+02	2.240000e+02	4.072749e-05	5.828913e-04	5.828913e-04
2.240000e+02	2.400000e+02	4.401938e-05	2.454067e-04	2.454067e-04
2.400000e+02	2.560000e+02	2.522209e-05	6.300071e-05	6.300071e-05
2.560000e+02	2.720000e+02	2.151060e-05	3.321627e-05	3.321627e-05
2.720000e+02	2.880000e+02	1.705116e-05	2.903894e-05	2.903894e-05
2.880000e+02	3.040000e+02	-1.237458e-05	2.411764e-05	2.411764e-05
3.040000e+02	3.200000e+02	6.830213e-06	1.507342e-05	1.507342e-05
3.200000e+02	3.360000e+02	4.189869e-06	1.750879e-05	1.750879e-05
3.360000e+02	3.520000e+02	2.135229e-06	6.595074e-06	6.595074e-06
3.520000e+02	3.680000e+02	7.128969e-07	5.339977e-06	5.339977e-06
3.680000e+02	3.840000e+02	-1.202866e-06	3.806557e-06	3.806557e-06
3.840000e+02	4.000000e+02	2.608352e-06	1.534576e-06	1.534576e-06
# END HISTO1D

