# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/deltaRb /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/deltaRb
RatioPlotReference=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/deltaRb
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=Separation of the two b-jets $\Delta \mathrm{R}_{\mathrm{bb}}$
YLabel=$\mathrm{d}\sigma/\Delta \mathrm{R}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/deltaRb
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/deltaRb
Title=johannes_nlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e-01	5.000000e-01	1.851496e-04	1.923749e-05	1.923749e-05
5.000000e-01	7.500000e-01	7.941319e-02	1.194997e-01	1.194997e-01
7.500000e-01	1.000000e+00	1.176727e-01	1.568278e-01	1.568278e-01
1.000000e+00	1.250000e+00	1.469671e-01	2.371172e-01	2.371172e-01
1.250000e+00	1.500000e+00	1.802194e-01	2.321296e-01	2.321296e-01
1.500000e+00	1.750000e+00	2.148479e-01	2.242161e-01	2.242161e-01
1.750000e+00	2.000000e+00	2.480206e-01	2.152302e-01	2.152302e-01
2.000000e+00	2.250000e+00	2.842050e-01	2.345667e-01	2.345667e-01
2.250000e+00	2.500000e+00	3.222875e-01	3.170642e-01	3.170642e-01
2.500000e+00	2.750000e+00	3.578435e-01	3.098178e-01	3.098178e-01
2.750000e+00	3.000000e+00	3.919131e-01	3.308140e-01	3.308140e-01
3.000000e+00	3.250000e+00	3.531935e-01	3.604861e-01	3.604861e-01
3.250000e+00	3.500000e+00	1.630029e-01	1.467862e-01	1.467862e-01
3.500000e+00	3.750000e+00	8.601431e-02	1.253125e-01	1.253125e-01
3.750000e+00	4.000000e+00	4.598350e-02	7.569320e-02	7.569320e-02
4.000000e+00	4.250000e+00	2.324741e-02	5.367126e-02	5.367126e-02
4.250000e+00	4.500000e+00	1.096943e-02	1.585804e-01	1.585804e-01
4.500000e+00	4.750000e+00	5.246502e-03	3.185672e-02	3.185672e-02
4.750000e+00	5.000000e+00	2.020531e-03	9.833758e-03	9.833758e-03
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/deltaRb
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/deltaRb
ScaledBy=1.0487612085043207e-07
Title=seedALL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e-01	5.000000e-01	3.272134e-05	2.185301e-05	2.185301e-05
5.000000e-01	7.500000e-01	8.274276e-02	5.380213e-01	5.380213e-01
7.500000e-01	1.000000e+00	1.043222e-01	2.126269e+00	2.126269e+00
1.000000e+00	1.250000e+00	1.217644e-01	4.270041e-01	4.270041e-01
1.250000e+00	1.500000e+00	1.801283e-01	4.367407e-01	4.367407e-01
1.500000e+00	1.750000e+00	1.966070e-01	4.741623e-01	4.741623e-01
1.750000e+00	2.000000e+00	2.491216e-01	5.938289e-01	5.938289e-01
2.000000e+00	2.250000e+00	2.659961e-01	3.034621e-01	3.034621e-01
2.250000e+00	2.500000e+00	3.014043e-01	3.880213e-01	3.880213e-01
2.500000e+00	2.750000e+00	3.492710e-01	6.292328e-01	6.292328e-01
2.750000e+00	3.000000e+00	3.617181e-01	3.305932e-01	3.305932e-01
3.000000e+00	3.250000e+00	3.482661e-01	8.083854e-01	8.083854e-01
3.250000e+00	3.500000e+00	1.587980e-01	3.214328e-01	3.214328e-01
3.500000e+00	3.750000e+00	8.559956e-02	2.240575e-01	2.240575e-01
3.750000e+00	4.000000e+00	2.833520e-02	6.585553e-02	6.585553e-02
4.000000e+00	4.250000e+00	2.354977e-02	4.627255e-02	4.627255e-02
4.250000e+00	4.500000e+00	3.096029e-03	2.196149e-02	2.196149e-02
4.500000e+00	4.750000e+00	5.513020e-03	1.833865e-02	1.833865e-02
4.750000e+00	5.000000e+00	3.657002e-03	1.525491e-02	1.525491e-02
# END HISTO1D

