# BEGIN PLOT
RatioPlotReference=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_sherpa_parton/deltaRb
RatioPlot=1
DrawOnly=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_sherpa_parton/deltaRb /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_sherpa_parton/deltaRb
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_sherpa_parton/deltaRb
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_sherpa_parton/deltaRb
Title=johannes_nlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e-01	5.000000e-01	1.851496e-04	1.923749e-05	1.923749e-05
5.000000e-01	7.500000e-01	7.941319e-02	1.194997e-01	1.194997e-01
7.500000e-01	1.000000e+00	1.176727e-01	1.568278e-01	1.568278e-01
1.000000e+00	1.250000e+00	1.469671e-01	2.371172e-01	2.371172e-01
1.250000e+00	1.500000e+00	1.802194e-01	2.321296e-01	2.321296e-01
1.500000e+00	1.750000e+00	2.148479e-01	2.242161e-01	2.242161e-01
1.750000e+00	2.000000e+00	2.480206e-01	2.152302e-01	2.152302e-01
2.000000e+00	2.250000e+00	2.842050e-01	2.345667e-01	2.345667e-01
2.250000e+00	2.500000e+00	3.222875e-01	3.170642e-01	3.170642e-01
2.500000e+00	2.750000e+00	3.578435e-01	3.098178e-01	3.098178e-01
2.750000e+00	3.000000e+00	3.919131e-01	3.308140e-01	3.308140e-01
3.000000e+00	3.250000e+00	3.531935e-01	3.604861e-01	3.604861e-01
3.250000e+00	3.500000e+00	1.630029e-01	1.467862e-01	1.467862e-01
3.500000e+00	3.750000e+00	8.601431e-02	1.253125e-01	1.253125e-01
3.750000e+00	4.000000e+00	4.598350e-02	7.569320e-02	7.569320e-02
4.000000e+00	4.250000e+00	2.324741e-02	5.367126e-02	5.367126e-02
4.250000e+00	4.500000e+00	1.096943e-02	1.585804e-01	1.585804e-01
4.500000e+00	4.750000e+00	5.246502e-03	3.185672e-02	3.185672e-02
4.750000e+00	5.000000e+00	2.020531e-03	9.833758e-03	9.833758e-03
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_sherpa_parton/deltaRb
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_sherpa_parton/deltaRb
ScaledBy=1.0487612085043207e-07
Title=seedALL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e-01	5.000000e-01	6.542996e-05	5.183948e-05	5.183948e-05
5.000000e-01	7.500000e-01	8.352836e-02	5.380149e-01	5.380149e-01
7.500000e-01	1.000000e+00	1.044419e-01	2.127697e+00	2.127697e+00
1.000000e+00	1.250000e+00	1.206882e-01	4.198314e-01	4.198314e-01
1.250000e+00	1.500000e+00	1.815014e-01	4.366630e-01	4.366630e-01
1.500000e+00	1.750000e+00	1.980759e-01	4.742443e-01	4.742443e-01
1.750000e+00	2.000000e+00	2.509338e-01	5.939790e-01	5.939790e-01
2.000000e+00	2.250000e+00	2.655370e-01	3.032480e-01	3.032480e-01
2.250000e+00	2.500000e+00	3.040388e-01	3.879645e-01	3.879645e-01
2.500000e+00	2.750000e+00	3.518198e-01	6.101713e-01	6.101713e-01
2.750000e+00	3.000000e+00	3.616336e-01	3.654676e-01	3.654676e-01
3.000000e+00	3.250000e+00	3.499938e-01	8.083544e-01	8.083544e-01
3.250000e+00	3.500000e+00	1.594216e-01	3.204893e-01	3.204893e-01
3.500000e+00	3.750000e+00	8.568940e-02	2.240627e-01	2.240627e-01
3.750000e+00	4.000000e+00	2.863953e-02	6.584544e-02	6.584544e-02
4.000000e+00	4.250000e+00	2.364662e-02	4.626615e-02	4.626615e-02
4.250000e+00	4.500000e+00	3.137968e-03	2.195100e-02	2.195100e-02
4.500000e+00	4.750000e+00	5.463548e-03	1.833323e-02	1.833323e-02
4.750000e+00	5.000000e+00	3.771064e-03	1.525473e-02	1.525473e-02
# END HISTO1D

